slope_window,infl_window,credit_window,uup_window,yield_weight,oos_sharpe
21,42,42,42,0.0,0.721
21,42,42,42,0.3,0.746
21,42,42,63,0.0,0.72
21,42,42,63,0.3,0.744
21,42,42,90,0.0,0.71
21,42,42,90,0.3,0.744
21,42,63,42,0.0,0.782
21,42,63,42,0.3,0.769
21,42,63,63,0.0,0.777
21,42,63,63,0.3,0.774
21,42,63,90,0.0,0.777
21,42,63,90,0.3,0.772
21,42,90,42,0.0,0.802
21,42,90,42,0.3,0.782
21,42,90,63,0.0,0.809
21,42,90,63,0.3,0.778
21,42,90,90,0.0,0.809
21,42,90,90,0.3,0.774
21,63,42,42,0.0,0.774
21,63,42,42,0.3,0.76
21,63,42,63,0.0,0.77
21,63,42,63,0.3,0.764
21,63,42,90,0.0,0.769
21,63,42,90,0.3,0.762
21,63,63,42,0.0,0.779
21,63,63,42,0.3,0.76
21,63,63,63,0.0,0.776
21,63,63,63,0.3,0.771
21,63,63,90,0.0,0.778
21,63,63,90,0.3,0.767
21,63,90,42,0.0,0.804
21,63,90,42,0.3,0.778
21,63,90,63,0.0,0.805
21,63,90,63,0.3,0.778
21,63,90,90,0.0,0.811
21,63,90,90,0.3,0.776
21,90,42,42,0.0,0.784
21,90,42,42,0.3,0.755
21,90,42,63,0.0,0.78
21,90,42,63,0.3,0.763
21,90,42,90,0.0,0.786
21,90,42,90,0.3,0.752
21,90,63,42,0.0,0.791
21,90,63,42,0.3,0.763
21,90,63,63,0.0,0.791
21,90,63,63,0.3,0.763
21,90,63,90,0.0,0.795
21,90,63,90,0.3,0.745
21,90,90,42,0.0,0.798
21,90,90,42,0.3,0.771
21,90,90,63,0.0,0.798
21,90,90,63,0.3,0.773
21,90,90,90,0.0,0.805
21,90,90,90,0.3,0.771
42,42,42,42,0.0,0.701
42,42,42,42,0.3,0.735
42,42,42,63,0.0,0.7
42,42,42,63,0.3,0.736
42,42,42,90,0.0,0.695
42,42,42,90,0.3,0.729
42,42,63,42,0.0,0.745
42,42,63,42,0.3,0.748
42,42,63,63,0.0,0.737
42,42,63,63,0.3,0.75
42,42,63,90,0.0,0.731
42,42,63,90,0.3,0.75
42,42,90,42,0.0,0.77
42,42,90,42,0.3,0.749
42,42,90,63,0.0,0.766
42,42,90,63,0.3,0.741
42,42,90,90,0.0,0.759
42,42,90,90,0.3,0.737
42,63,42,42,0.0,0.727
42,63,42,42,0.3,0.742
42,63,42,63,0.0,0.726
42,63,42,63,0.3,0.738
42,63,42,90,0.0,0.726
42,63,42,90,0.3,0.741
42,63,63,42,0.0,0.736
42,63,63,42,0.3,0.756
42,63,63,63,0.0,0.733
42,63,63,63,0.3,0.75
42,63,63,90,0.0,0.729
42,63,63,90,0.3,0.741
42,63,90,42,0.0,0.769
42,63,90,42,0.3,0.75
42,63,90,63,0.0,0.768
42,63,90,63,0.3,0.732
42,63,90,90,0.0,0.76
42,63,90,90,0.3,0.74
42,90,42,42,0.0,0.74
42,90,42,42,0.3,0.721
42,90,42,63,0.0,0.739
42,90,42,63,0.3,0.723
42,90,42,90,0.0,0.736
42,90,42,90,0.3,0.721
42,90,63,42,0.0,0.754
42,90,63,42,0.3,0.733
42,90,63,63,0.0,0.753
42,90,63,63,0.3,0.724
42,90,63,90,0.0,0.756
42,90,63,90,0.3,0.718
42,90,90,42,0.0,0.763
42,90,90,42,0.3,0.739
42,90,90,63,0.0,0.761
42,90,90,63,0.3,0.731
42,90,90,90,0.0,0.761
42,90,90,90,0.3,0.738
63,42,42,42,0.0,0.724
63,42,42,42,0.3,0.74
63,42,42,63,0.0,0.721
63,42,42,63,0.3,0.741
63,42,42,90,0.0,0.72
63,42,42,90,0.3,0.731
63,42,63,42,0.0,0.73
63,42,63,42,0.3,0.752
63,42,63,63,0.0,0.733
63,42,63,63,0.3,0.743
63,42,63,90,0.0,0.726
63,42,63,90,0.3,0.74
63,42,90,42,0.0,0.76
63,42,90,42,0.3,0.745
63,42,90,63,0.0,0.753
63,42,90,63,0.3,0.733
63,42,90,90,0.0,0.753
63,42,90,90,0.3,0.727
63,63,42,42,0.0,0.725
63,63,42,42,0.3,0.737
63,63,42,63,0.0,0.719
63,63,42,63,0.3,0.735
63,63,42,90,0.0,0.719
63,63,42,90,0.3,0.735
63,63,63,42,0.0,0.731
63,63,63,42,0.3,0.744
63,63,63,63,0.0,0.731
63,63,63,63,0.3,0.743
63,63,63,90,0.0,0.725
63,63,63,90,0.3,0.74
63,63,90,42,0.0,0.758
63,63,90,42,0.3,0.74
63,63,90,63,0.0,0.757
63,63,90,63,0.3,0.735
63,63,90,90,0.0,0.753
63,63,90,90,0.3,0.738
63,90,42,42,0.0,0.732
63,90,42,42,0.3,0.722
63,90,42,63,0.0,0.728
63,90,42,63,0.3,0.715
63,90,42,90,0.0,0.727
63,90,42,90,0.3,0.721
63,90,63,42,0.0,0.741
63,90,63,42,0.3,0.733
63,90,63,63,0.0,0.737
63,90,63,63,0.3,0.724
63,90,63,90,0.0,0.732
63,90,63,90,0.3,0.719
63,90,90,42,0.0,0.755
63,90,90,42,0.3,0.738
63,90,90,63,0.0,0.753
63,90,90,63,0.3,0.739
63,90,90,90,0.0,0.751
63,90,90,90,0.3,0.734
