z_entry,coint_pval,spread_window,max_halflife,oos_sharpe
2.0,0.01,63,20,
2.0,0.01,63,30,-0.112
2.0,0.01,63,45,-0.112
2.0,0.01,126,20,
2.0,0.01,126,30,0.085
2.0,0.01,126,45,0.085
2.0,0.02,63,20,
2.0,0.02,63,30,-0.112
2.0,0.02,63,45,0.143
2.0,0.02,126,20,
2.0,0.02,126,30,0.085
2.0,0.02,126,45,0.462
2.5,0.01,63,20,
2.5,0.01,63,30,0.04
2.5,0.01,63,45,0.04
2.5,0.01,126,20,
2.5,0.01,126,30,0.184
2.5,0.01,126,45,0.184
2.5,0.02,63,20,
2.5,0.02,63,30,0.04
2.5,0.02,63,45,0.229
2.5,0.02,126,20,
2.5,0.02,126,30,0.184
2.5,0.02,126,45,0.478
3.0,0.01,63,20,
3.0,0.01,63,30,0.308
3.0,0.01,63,45,0.308
3.0,0.01,126,20,
3.0,0.01,126,30,0.388
3.0,0.01,126,45,0.388
3.0,0.02,63,20,
3.0,0.02,63,30,0.308
3.0,0.02,63,45,0.161
3.0,0.02,126,20,
3.0,0.02,126,30,0.388
3.0,0.02,126,45,0.509
